Soil_Type,Soil_pH,Organic_Carbon,Nitrogen_Level,Phosphorus_Level,Potassium_Level,Temperature,Humidity,Rainfall,Crop_Type,Crop_Growth_Stage,Season,Irrigation_Type,Recommended_Fertilizer,Dosage_kg_ropani
Sandy,7.1,0.54,121,25,117,19.25,52.49,796.04,Rice,Harvest,Spring,Canal,DAP,0.51
Loamy,8.43,0.29,137,64,70,11.36,37.05,160.12,Potato,Vegetative,Winter,Rainfed,Zinc Sulphate,1.6
Loamy,8.15,0.98,30,39,83,32.62,85.13,1167.83,Cotton,Flowering,Summer,Canal,Urea,2.69
Loamy,6.26,1.56,98,50,105,22.08,82.94,862.61,Cotton,Flowering,Summer,Sprinkler,Urea,0.85
Loamy,4.66,0.33,110,76,34,24.57,70.76,2184.58,Wheat,Vegetative,Summer,Rainfed,MOP,1.8
Sandy,5.95,2.75,121,26,101,30.78,71.62,2947.16,Tomato,Harvest,Summer,Drip,DAP,0.51
Silt,7.81,0.35,148,35,38,23.16,67.39,596.9,Sugarcane,Vegetative,Spring,Drip,DAP,2.42
Loamy,7.31,1.07,33,82,44,18.58,62.53,172.34,Tomato,Flowering,Spring,Canal,Urea,2.44
Loamy,6.34,3.42,150,73,56,33.07,66.42,1528.67,Tomato,Harvest,Summer,Canal,SSP,0.76
Clay,4.72,1.03,49,67,66,32.43,72.22,1061.04,Wheat,Vegetative,Summer,Drip,Urea,3.59
Loamy,6.21,0.35,148,84,41,14.64,44.3,291.54,Potato,Flowering,Winter,Rainfed,Zinc Sulphate,0.6
Clay,6.38,0.61,124,12,55,11.4,40.54,211.48,Wheat,Flowering,Winter,Sprinkler,DAP,0.94
Silt,8.21,0.32,62,37,45,25.59,75.36,2054.85,Maize,Harvest,Summer,Drip,DAP,0.59
Sandy,7.06,0.73,57,13,80,11.28,27.88,71.51,Rice,Sowing,Winter,Canal,Urea,3.05
Sandy,5.75,1.9,108,49,19,26.82,51.42,687.56,Tomato,Vegetative,Spring,Canal,MOP,4.44
Silt,6.6,1.19,63,84,55,15.9,54.81,65.97,Sugarcane,Flowering,Winter,Drip,MOP,0.86
Sandy,4.76,2.55,128,66,107,9.7,47.58,85.15,Tomato,Flowering,Winter,Canal,Compost,105.56
Silt,8.39,0.89,74,74,106,23.24,63.25,335.01,Cotton,Vegetative,Spring,Rainfed,Zinc Sulphate,1.46
Silt,5.94,1.85,74,56,35,15.93,66.79,439.94,Tomato,Flowering,Spring,Canal,MOP,1.81
Silt,6.41,0.78,97,89,57,33.39,89.99,2793.98,Tomato,Harvest,Summer,Drip,NPK,1.83
Sandy,5.92,0.39,126,43,57,26.82,60.74,352.86,Tomato,Vegetative,Spring,Rainfed,NPK,13.46
Clay,7.23,2.83,76,54,22,16.18,38.13,237.01,Sugarcane,Harvest,Winter,Sprinkler,MOP,0.41
Silt,7.15,0.56,149,41,39,10.29,43.55,109.75,Potato,Sowing,Winter,Sprinkler,MOP,2.87
Loamy,7.36,0.27,143,53,105,27.45,48.38,324.56,Tomato,Vegetative,Spring,Rainfed,NPK,11.14
Sandy,5.57,0.36,68,20,106,25.8,75.99,2524.94,Potato,Sowing,Summer,Rainfed,DAP,4.56
Silt,5.76,0.99,83,45,79,9.27,27.63,35.77,Sugarcane,Vegetative,Winter,Rainfed,NPK,17.81
Silt,5.0,0.99,106,22,109,10.9,39.86,284.93,Potato,Sowing,Winter,Sprinkler,DAP,2.12
Loamy,7.12,0.54,32,66,75,27.21,87.64,2169.53,Wheat,Flowering,Summer,Sprinkler,Urea,2.37
Clay,4.66,2.22,88,34,16,33.94,78.18,1493.12,Cotton,Sowing,Summer,Sprinkler,DAP,1.23
Clay,6.89,2.05,81,79,65,32.39,88.55,1992.14,Cotton,Vegetative,Summer,Drip,NPK,5.92
Clay,7.98,1.87,140,46,39,35.59,94.29,1000.74,Tomato,Harvest,Summer,Canal,MOP,0.72
Silt,8.06,0.96,71,13,119,16.01,40.01,430.41,Maize,Flowering,Spring,Drip,DAP,1.48
Silt,6.3,1.22,52,35,64,21.92,68.1,396.19,Cotton,Harvest,Spring,Sprinkler,Urea,0.6
Silt,6.34,1.51,39,22,99,18.94,68.79,561.67,Maize,Flowering,Spring,Canal,Urea,2.26
Sandy,4.81,0.54,131,81,98,32.52,72.2,2293.68,Potato,Vegetative,Summer,Drip,Compost,466.61
Loamy,7.18,0.6,56,60,42,20.11,64.42,678.55,Potato,Harvest,Spring,Rainfed,Urea,1.18
Silt,7.79,0.82,125,56,51,31.09,90.87,2395.21,Tomato,Harvest,Summer,Drip,Compost,84.14
Loamy,5.48,0.22,124,42,15,14.91,52.92,75.82,Wheat,Vegetative,Winter,Sprinkler,MOP,1.25
Loamy,6.19,0.59,70,89,17,23.5,83.65,2923.07,Rice,Flowering,Summer,Rainfed,MOP,1.7
Clay,7.86,0.82,48,51,82,27.88,89.52,1372.87,Tomato,Flowering,Summer,Canal,Urea,2.53
Sandy,8.01,0.34,156,40,84,17.34,42.68,343.11,Potato,Vegetative,Spring,Sprinkler,Zinc Sulphate,1.46
Silt,5.47,0.36,105,49,97,6.64,51.9,32.58,Sugarcane,Flowering,Winter,Drip,Compost,428.82
Clay,6.7,0.8,59,25,79,7.55,35.12,94.03,Sugarcane,Harvest,Winter,Rainfed,Urea,1.34
Clay,5.27,2.6,119,65,49,22.51,60.48,288.92,Cotton,Flowering,Spring,Rainfed,Compost,76.31
Silt,4.91,2.24,42,83,65,26.24,84.55,840.6,Cotton,Vegetative,Summer,Canal,Urea,4.39
Loamy,8.14,0.91,122,45,89,25.9,77.72,2000.34,Sugarcane,Sowing,Summer,Rainfed,Zinc Sulphate,1.52
Clay,7.78,0.82,27,89,26,27.45,68.74,583.48,Rice,Vegetative,Spring,Drip,Urea,3.31
Loamy,7.54,0.7,93,65,97,37.57,71.84,2354.94,Rice,Flowering,Summer,Rainfed,NPK,5.95
Sandy,4.7,0.45,83,57,16,17.37,40.94,93.46,Tomato,Flowering,Winter,Sprinkler,MOP,2.74
Loamy,7.87,0.39,112,89,49,28.29,67.1,2538.9,Rice,Harvest,Summer,Rainfed,Zinc Sulphate,1.7
Sandy,6.25,1.18,139,67,113,7.28,45.92,143.94,Cotton,Flowering,Winter,Canal,NPK,4.15
Loamy,5.87,0.8,128,24,67,12.38,35.2,278.51,Potato,Flowering,Winter,Drip,DAP,1.16
Clay,6.69,2.36,115,26,71,12.53,26.95,267.38,Cotton,Harvest,Winter,Drip,DAP,0.51
Clay,4.87,1.14,99,24,100,11.37,40.16,153.36,Potato,Flowering,Winter,Sprinkler,DAP,1.46
Sandy,7.53,0.45,122,30,83,13.38,43.05,140.94,Rice,Flowering,Winter,Drip,DAP,0.97
Silt,6.83,0.86,36,73,63,21.54,53.64,585.71,Sugarcane,Sowing,Spring,Canal,Urea,5.91
Sandy,5.25,0.78,39,16,18,16.08,46.93,735.74,Maize,Harvest,Spring,Canal,Urea,1.38
Sandy,5.25,0.75,134,61,60,36.27,81.07,1226.23,Sugarcane,Flowering,Summer,Sprinkler,Compost,300.47
Loamy,5.24,0.91,31,28,19,7.99,25.18,179.85,Potato,Harvest,Winter,Drip,Urea,1.15
Loamy,4.73,2.28,143,55,58,32.1,94.71,1375.86,Maize,Vegetative,Summer,Canal,Compost,139.57
Sandy,6.85,3.41,141,47,39,12.18,27.87,95.73,Potato,Sowing,Winter,Rainfed,MOP,2.56
Clay,7.86,1.77,91,22,18,9.84,31.22,44.09,Rice,Flowering,Winter,Sprinkler,DAP,0.84
Loamy,4.57,0.24,104,53,55,13.6,35.44,283.59,Cotton,Vegetative,Winter,Rainfed,Compost,494.58
Silt,4.7,0.38,129,31,35,23.06,60.57,160.36,Rice,Sowing,Spring,Sprinkler,DAP,1.69
Loamy,6.79,0.31,37,80,73,19.42,68.92,704.48,Wheat,Vegetative,Spring,Rainfed,Urea,4.93
Loamy,7.78,0.54,48,44,43,6.84,41.23,80.41,Tomato,Flowering,Winter,Canal,Urea,2.73
Silt,5.81,0.77,154,12,108,34.72,87.14,1927.7,Tomato,Vegetative,Summer,Drip,DAP,3.11
Sandy,5.9,2.81,59,25,36,12.42,33.82,83.57,Tomato,Sowing,Winter,Drip,Urea,2.25
Silt,6.89,0.85,120,54,93,30.04,74.82,1527.32,Cotton,Vegetative,Summer,Canal,NPK,7.67
Sandy,5.6,2.86,139,25,97,26.13,41.71,488.65,Maize,Vegetative,Spring,Drip,DAP,1.71
Sandy,4.61,2.01,153,75,36,20.65,60.89,553.85,Tomato,Harvest,Spring,Drip,MOP,0.7
Sandy,7.44,0.41,74,47,50,7.41,33.29,157.56,Cotton,Harvest,Winter,Rainfed,SSP,1.01
Silt,7.0,2.48,92,33,92,31.23,89.82,2693.13,Tomato,Flowering,Summer,Drip,DAP,1.08
Sandy,6.82,0.83,107,59,27,8.62,51.08,162.74,Rice,Harvest,Winter,Drip,MOP,0.41
Clay,7.47,0.79,144,66,59,29.88,88.07,1842.27,Maize,Vegetative,Summer,Canal,NPK,10.44
Silt,7.2,2.18,41,65,52,17.51,62.51,209.39,Wheat,Harvest,Spring,Drip,Urea,0.53
Clay,5.32,0.32,69,75,50,17.48,61.08,431.2,Sugarcane,Sowing,Spring,Rainfed,Compost,915.7
Sandy,5.91,1.71,46,87,85,7.84,29.35,34.98,Wheat,Sowing,Winter,Rainfed,Urea,3.26
Loamy,5.0,2.89,67,86,113,7.38,39.86,69.95,Tomato,Flowering,Winter,Drip,Compost,89.8
Sandy,5.02,2.76,85,82,27,24.99,62.75,297.75,Tomato,Harvest,Spring,Rainfed,MOP,0.75
Clay,7.2,3.25,149,71,70,15.73,53.58,132.1,Sugarcane,Harvest,Winter,Canal,Zinc Sulphate,0.44
Clay,7.93,0.87,65,23,81,8.71,43.75,214.61,Tomato,Flowering,Winter,Drip,DAP,1.06
Silt,8.35,0.32,90,75,109,17.05,46.52,91.67,Cotton,Vegetative,Winter,Canal,Zinc Sulphate,1.46
Loamy,7.01,0.42,32,69,111,17.61,37.94,144.21,Rice,Sowing,Winter,Sprinkler,Urea,2.66
Silt,5.24,0.62,30,30,62,18.45,62.1,315.25,Rice,Harvest,Spring,Drip,Urea,0.83
Clay,4.92,0.33,45,44,89,24.97,44.56,477.66,Tomato,Harvest,Spring,Rainfed,Urea,1.34
Sandy,7.75,2.55,68,39,62,25.12,73.45,2559.07,Sugarcane,Flowering,Summer,Canal,DAP,1.4
Loamy,6.82,0.59,82,48,22,12.43,25.6,180.48,Rice,Sowing,Winter,Canal,MOP,1.46
Sandy,6.97,1.97,40,34,35,6.86,44.38,269.92,Cotton,Harvest,Winter,Rainfed,Urea,0.78
Sandy,7.63,2.79,98,53,99,17.68,48.22,678.1,Wheat,Harvest,Spring,Sprinkler,Compost,76.31
Loamy,7.31,0.43,99,68,65,19.18,61.66,633.46,Cotton,Vegetative,Spring,Rainfed,NPK,7.34
Silt,7.84,0.82,28,15,94,9.87,43.96,118.04,Cotton,Flowering,Winter,Sprinkler,Urea,2.29
Sandy,4.72,0.81,135,12,70,33.56,65.43,2077.36,Wheat,Harvest,Summer,Sprinkler,DAP,0.66
Clay,7.49,0.84,139,45,59,21.05,40.62,534.15,Tomato,Harvest,Spring,Canal,Zinc Sulphate,0.73
Sandy,7.9,0.9,74,10,30,26.49,68.54,2500.8,Potato,Sowing,Summer,Rainfed,DAP,4.37
Loamy,5.64,0.24,60,43,17,15.37,28.31,66.06,Maize,Sowing,Winter,Canal,MOP,1.32
Loamy,7.06,2.55,25,74,106,22.39,91.32,1531.88,Maize,Sowing,Summer,Rainfed,Urea,3.41
Loamy,5.76,0.83,20,35,79,27.26,62.22,500.62,Sugarcane,Vegetative,Spring,Drip,Urea,7.23
Silt,8.33,2.54,114,27,73,9.78,38.86,162.1,Sugarcane,Sowing,Winter,Canal,DAP,1.74
Sandy,4.63,3.12,152,45,59,6.13,52.46,231.61,Maize,Flowering,Winter,Drip,Compost,89.87
Silt,6.82,0.5,45,15,11,12.24,31.15,59.66,Potato,Vegetative,Winter,Canal,Urea,5.84
Silt,5.17,0.26,20,84,81,32.33,90.1,2629.12,Maize,Harvest,Summer,Drip,Urea,1.6
Loamy,7.35,3.28,20,53,79,24.83,73.86,1404.06,Cotton,Vegetative,Summer,Rainfed,Urea,3.96
Loamy,5.2,1.45,112,49,15,15.99,38.83,144.66,Tomato,Harvest,Winter,Canal,MOP,0.79
Silt,5.44,0.78,57,39,31,27.11,63.29,427.75,Rice,Flowering,Spring,Rainfed,Urea,2.42
Sandy,6.48,0.54,60,87,98,15.35,38.83,34.8,Sugarcane,Harvest,Winter,Drip,Compost,236.61
Clay,8.16,0.4,152,83,55,37.05,73.56,2001.42,Rice,Flowering,Summer,Sprinkler,Zinc Sulphate,1.44
Silt,5.35,0.57,82,40,104,7.28,49.32,39.06,Wheat,Harvest,Winter,Canal,Compost,109.42
Sandy,5.08,0.63,105,67,70,17.69,48.37,782.26,Maize,Vegetative,Spring,Canal,Compost,447.53
Loamy,7.54,0.75,103,64,44,37.26,88.79,1270.82,Cotton,Sowing,Summer,Drip,MOP,1.08
Loamy,6.5,1.79,159,45,71,36.64,93.13,1846.16,Wheat,Vegetative,Summer,Canal,NPK,7.49
Sandy,8.15,0.56,153,88,78,13.75,49.74,160.4,Sugarcane,Flowering,Winter,Sprinkler,Zinc Sulphate,1.26
Clay,5.09,0.27,128,39,95,7.87,47.78,110.51,Cotton,Vegetative,Winter,Sprinkler,DAP,1.71
Loamy,7.08,0.69,123,57,66,27.92,88.37,1499.99,Wheat,Flowering,Summer,Canal,Zinc Sulphate,0.77
Loamy,5.43,2.63,54,87,34,19.66,60.93,514.13,Wheat,Vegetative,Spring,Sprinkler,Urea,2.5
Loamy,5.13,0.85,94,26,91,7.84,35.96,258.18,Rice,Flowering,Winter,Drip,DAP,0.89
Sandy,7.23,2.39,144,36,82,16.36,27.16,192.58,Maize,Vegetative,Winter,Canal,DAP,1.76
Silt,6.87,0.85,71,72,34,22.25,83.17,1386.75,Potato,Sowing,Summer,Canal,MOP,3.49
Loamy,7.52,0.56,52,86,102,16.94,58.69,315.08,Cotton,Flowering,Spring,Sprinkler,Urea,1.88
Silt,5.74,0.45,33,23,42,36.85,72.28,2927.37,Cotton,Harvest,Summer,Sprinkler,Urea,1.2
Clay,6.29,2.63,72,35,116,21.63,49.12,299.56,Potato,Flowering,Spring,Rainfed,DAP,0.9
Loamy,6.12,0.9,80,52,17,28.85,80.77,1152.16,Cotton,Sowing,Summer,Canal,MOP,1.26
Loamy,8.44,0.99,32,84,113,37.47,72.01,2532.12,Tomato,Sowing,Summer,Drip,Urea,5.05
Clay,5.67,2.08,34,10,22,20.99,56.2,547.38,Wheat,Sowing,Spring,Sprinkler,Urea,2.18
Loamy,5.68,2.03,74,33,70,37.42,89.24,2965.16,Potato,Harvest,Summer,Drip,DAP,0.51
Silt,5.92,0.26,66,29,17,8.25,35.48,152.56,Maize,Sowing,Winter,Rainfed,DAP,2.35
Sandy,6.76,1.29,116,20,114,8.42,45.39,140.14,Cotton,Sowing,Winter,Rainfed,DAP,1.73
Silt,5.51,0.89,94,17,117,5.01,46.08,164.26,Tomato,Harvest,Winter,Canal,DAP,0.54
Sandy,8.16,0.71,34,39,36,16.32,53.95,40.92,Wheat,Sowing,Winter,Rainfed,Urea,4.07
Sandy,5.56,0.9,40,27,63,26.71,71.84,489.84,Tomato,Harvest,Spring,Sprinkler,Urea,0.98
Silt,8.08,1.0,55,86,12,35.65,76.61,843.78,Maize,Vegetative,Summer,Rainfed,Urea,6.63
Silt,4.91,0.39,63,22,42,27.09,54.93,155.0,Wheat,Vegetative,Spring,Rainfed,DAP,3.06
Silt,7.13,0.74,148,57,104,15.3,38.61,271.05,Cotton,Vegetative,Winter,Canal,NPK,6.89
Silt,8.13,0.64,61,69,37,26.71,90.01,2337.86,Rice,Flowering,Summer,Drip,MOP,1.33
Clay,5.17,0.66,52,35,94,28.16,76.45,1356.41,Potato,Flowering,Summer,Drip,Urea,2.84
Loamy,8.37,0.32,122,18,61,19.99,62.04,689.54,Potato,Sowing,Spring,Sprinkler,DAP,3.05
Sandy,6.31,0.41,59,62,38,21.39,41.24,607.68,Tomato,Harvest,Spring,Sprinkler,Urea,0.89
Silt,8.28,0.41,116,80,102,26.65,42.72,580.19,Cotton,Flowering,Spring,Rainfed,Zinc Sulphate,1.54
Silt,7.21,0.69,134,18,70,13.16,43.97,299.54,Sugarcane,Harvest,Winter,Sprinkler,DAP,0.51
Silt,5.71,2.56,121,35,82,35.62,89.72,889.07,Sugarcane,Vegetative,Summer,Sprinkler,DAP,1.93
Clay,5.25,0.47,83,42,70,25.49,42.85,194.71,Rice,Harvest,Spring,Rainfed,Compost,98.74
Silt,5.71,0.74,47,42,31,15.05,67.24,385.34,Tomato,Vegetative,Spring,Drip,Urea,4.17
Silt,4.87,0.61,99,61,81,19.16,52.26,758.0,Cotton,Flowering,Spring,Rainfed,Compost,245.66
Silt,5.08,1.44,131,49,66,14.75,41.18,79.0,Cotton,Harvest,Winter,Sprinkler,Compost,76.31
Loamy,4.92,0.27,105,13,54,6.98,29.52,62.5,Maize,Harvest,Winter,Sprinkler,DAP,0.71
Clay,6.19,0.46,125,37,90,27.07,75.0,1686.36,Sugarcane,Vegetative,Summer,Sprinkler,DAP,1.96
Silt,7.68,0.47,67,28,96,10.96,38.84,68.77,Rice,Harvest,Winter,Drip,DAP,0.51
Sandy,5.07,2.68,28,77,112,9.57,41.35,208.48,Tomato,Vegetative,Winter,Sprinkler,Urea,4.62
Sandy,5.02,0.94,129,58,39,20.48,47.97,710.68,Maize,Flowering,Spring,Rainfed,MOP,1.07
Sandy,7.07,0.38,102,15,88,24.71,78.2,2857.48,Wheat,Vegetative,Summer,Sprinkler,DAP,3.52
Clay,5.29,0.55,97,42,23,30.91,83.46,825.88,Wheat,Vegetative,Summer,Canal,MOP,1.27
Clay,4.89,0.42,85,14,98,17.99,66.16,335.6,Maize,Harvest,Spring,Canal,DAP,0.64
Sandy,5.17,0.36,158,27,89,36.98,67.11,2093.35,Rice,Harvest,Summer,Canal,DAP,0.75
Silt,8.19,3.42,109,12,57,17.59,45.95,252.09,Maize,Harvest,Spring,Drip,DAP,0.51
Clay,7.79,0.84,91,11,27,33.14,93.45,1903.07,Rice,Flowering,Summer,Canal,DAP,1.43
Sandy,5.92,1.64,34,74,41,15.49,48.63,441.91,Tomato,Harvest,Spring,Canal,Urea,1.01
Sandy,7.12,0.63,128,44,119,23.36,55.08,381.29,Cotton,Flowering,Spring,Canal,DAP,0.94
Silt,6.65,0.92,59,60,47,31.12,82.21,2721.45,Wheat,Flowering,Summer,Sprinkler,Urea,1.94
Loamy,7.21,0.53,105,77,62,6.22,53.52,208.59,Potato,Sowing,Winter,Rainfed,Compost,817.31
Clay,7.23,0.6,52,44,24,18.41,51.6,593.45,Wheat,Harvest,Spring,Rainfed,Urea,0.72
Silt,7.01,1.36,145,81,46,11.32,36.0,258.94,Maize,Vegetative,Winter,Rainfed,NPK,9.16
Sandy,5.56,0.4,149,53,58,15.68,60.49,778.18,Tomato,Harvest,Spring,Rainfed,MOP,0.77
Sandy,4.66,1.0,128,38,42,16.97,54.4,232.99,Sugarcane,Harvest,Winter,Rainfed,DAP,0.54
Silt,6.32,1.06,129,45,22,5.52,41.27,151.42,Maize,Vegetative,Winter,Rainfed,MOP,1.68
Clay,8.06,0.36,35,87,80,23.55,80.23,984.8,Cotton,Vegetative,Summer,Rainfed,Urea,5.87
Loamy,6.78,1.95,33,51,73,18.0,51.82,385.95,Maize,Flowering,Spring,Canal,Urea,2.19
Loamy,7.83,0.3,65,16,28,31.84,90.18,2299.36,Potato,Vegetative,Summer,Canal,DAP,4.82
Sandy,8.47,0.65,69,22,94,25.42,53.75,190.45,Rice,Sowing,Spring,Sprinkler,DAP,1.77
Clay,5.15,0.99,132,31,65,26.07,70.2,733.45,Potato,Harvest,Spring,Rainfed,DAP,0.59
Loamy,7.27,0.93,152,66,46,8.79,32.27,195.47,Cotton,Harvest,Winter,Sprinkler,MOP,0.41
Clay,7.2,0.33,62,54,67,21.28,70.96,174.67,Tomato,Vegetative,Spring,Drip,NPK,10.25
Clay,8.42,1.54,67,63,18,37.84,90.97,2296.24,Potato,Vegetative,Summer,Sprinkler,MOP,5.64
Sandy,8.44,2.23,40,11,13,7.7,30.75,215.84,Wheat,Vegetative,Winter,Rainfed,Urea,5.28
Loamy,7.25,0.44,74,81,104,8.1,29.25,168.44,Rice,Flowering,Winter,Canal,NPK,4.87
Silt,5.47,2.31,135,66,80,16.81,38.59,158.43,Maize,Flowering,Winter,Canal,Compost,100.83
Sandy,7.69,0.92,127,84,22,20.41,68.97,769.3,Sugarcane,Harvest,Spring,Drip,MOP,0.67
Loamy,4.93,1.87,21,43,72,11.08,25.66,204.18,Potato,Flowering,Winter,Sprinkler,Urea,3.4
Loamy,7.62,0.43,150,53,113,27.71,70.27,581.98,Sugarcane,Harvest,Spring,Canal,NPK,3.25
Loamy,8.14,2.87,32,78,72,17.61,59.94,762.1,Rice,Harvest,Spring,Sprinkler,Urea,0.67
Loamy,6.03,0.28,40,62,70,24.24,80.67,2271.98,Maize,Flowering,Summer,Drip,Urea,2.73
Loamy,7.02,3.26,144,71,45,17.8,62.62,279.78,Sugarcane,Flowering,Spring,Canal,SSP,1.68
Clay,6.22,1.53,57,42,17,11.06,38.35,180.52,Potato,Sowing,Winter,Drip,Urea,2.32
Sandy,6.25,0.68,44,85,99,30.29,92.82,2873.14,Rice,Vegetative,Summer,Canal,Urea,5.33
Clay,5.74,0.45,116,78,36,36.04,66.94,2610.79,Potato,Sowing,Summer,Rainfed,MOP,4.92
Silt,7.55,3.09,51,10,35,18.79,59.5,176.45,Sugarcane,Harvest,Spring,Sprinkler,Urea,1.05
Loamy,8.24,0.98,62,44,54,17.25,67.5,467.34,Rice,Harvest,Spring,Drip,Zinc Sulphate,0.98
Sandy,8.26,0.67,32,34,51,19.93,59.29,442.91,Rice,Flowering,Spring,Canal,Urea,3.19
Loamy,5.2,0.78,97,13,23,26.84,43.89,365.47,Maize,Sowing,Spring,Rainfed,DAP,2.51
Sandy,8.0,1.33,44,82,93,23.0,68.34,772.48,Sugarcane,Vegetative,Spring,Canal,Urea,9.82
Clay,7.45,0.64,68,76,36,33.85,68.4,892.34,Potato,Flowering,Summer,Canal,MOP,2.49
Sandy,5.51,0.32,107,19,118,20.36,66.62,684.68,Potato,Flowering,Spring,Rainfed,DAP,2.71
Silt,4.77,1.57,139,29,101,27.15,68.71,580.03,Tomato,Harvest,Spring,Drip,DAP,0.51
Silt,5.57,0.7,155,49,81,33.15,82.9,1836.38,Rice,Vegetative,Summer,Sprinkler,NPK,8.74
Sandy,8.15,0.65,145,76,61,14.89,54.65,203.86,Wheat,Harvest,Winter,Sprinkler,Zinc Sulphate,1.26
Sandy,7.03,0.47,30,84,78,7.01,45.1,195.47,Rice,Flowering,Winter,Rainfed,Urea,3.0
Sandy,7.38,2.4,29,24,62,11.33,47.79,224.18,Tomato,Sowing,Winter,Rainfed,Urea,3.93
Sandy,5.53,0.48,78,37,60,15.63,46.67,255.86,Rice,Vegetative,Spring,Sprinkler,DAP,1.64
Silt,7.38,1.77,84,44,86,33.24,75.62,1675.5,Cotton,Flowering,Summer,Canal,NPK,4.3
Loamy,4.61,1.1,152,16,11,10.59,28.57,203.56,Rice,Flowering,Winter,Sprinkler,DAP,1.13
Sandy,6.0,0.25,99,63,57,12.76,39.19,170.33,Potato,Harvest,Winter,Drip,Urea,0.67
Sandy,7.01,1.74,111,51,87,17.99,33.59,214.09,Maize,Vegetative,Winter,Sprinkler,NPK,6.96
Silt,5.08,0.73,152,47,58,17.73,49.51,627.31,Maize,Flowering,Spring,Sprinkler,Compost,195.16
Silt,7.79,3.26,131,73,68,15.0,51.82,151.36,Tomato,Sowing,Winter,Canal,MOP,1.33
Clay,5.44,0.68,106,66,76,10.17,30.44,95.25,Rice,Flowering,Winter,Sprinkler,Compost,158.3
Sandy,7.11,1.44,132,38,89,22.36,50.35,622.56,Maize,Vegetative,Spring,Rainfed,DAP,2.49
Clay,6.12,0.53,137,75,18,27.75,78.93,1482.32,Potato,Flowering,Summer,Canal,MOP,2.83
Silt,6.88,0.23,111,82,112,23.0,57.78,426.29,Potato,Harvest,Spring,Sprinkler,Compost,152.96
Silt,4.93,2.91,20,15,11,15.51,44.69,751.11,Rice,Flowering,Spring,Canal,Urea,2.52
Loamy,4.57,0.22,131,11,84,15.76,38.76,30.38,Maize,Flowering,Winter,Canal,DAP,1.93
Sandy,8.14,2.81,138,48,97,26.7,74.84,1792.94,Tomato,Vegetative,Summer,Sprinkler,Zinc Sulphate,1.09
Clay,5.58,0.42,139,15,52,20.24,53.49,258.54,Wheat,Flowering,Spring,Rainfed,DAP,1.17
Silt,7.78,0.71,53,23,102,34.95,77.14,1645.23,Potato,Flowering,Summer,Rainfed,Urea,4.1
Silt,8.5,1.27,114,27,23,23.44,46.38,323.77,Rice,Sowing,Spring,Sprinkler,DAP,1.49
Clay,5.35,0.47,51,79,49,7.22,42.64,181.19,Rice,Sowing,Winter,Canal,Urea,2.85
Loamy,5.56,1.82,135,85,64,5.4,40.42,189.48,Wheat,Vegetative,Winter,Drip,NPK,5.02
Silt,7.15,0.85,41,31,68,24.07,49.27,191.1,Maize,Sowing,Spring,Sprinkler,Urea,3.04
Sandy,8.36,0.68,117,87,95,34.96,89.68,1751.13,Maize,Vegetative,Summer,Drip,Zinc Sulphate,1.48
Silt,8.16,1.47,64,22,56,23.3,64.72,667.04,Sugarcane,Vegetative,Spring,Rainfed,DAP,3.6
Sandy,6.51,0.64,86,82,43,35.87,82.8,2954.38,Wheat,Flowering,Summer,Rainfed,Urea,2.29
Clay,7.68,0.65,40,19,45,7.66,49.91,292.45,Potato,Sowing,Winter,Rainfed,Urea,4.89
Sandy,5.04,1.06,48,36,42,36.61,94.92,994.99,Wheat,Sowing,Summer,Drip,Urea,3.15
Clay,8.41,0.6,52,23,112,9.43,31.94,127.6,Cotton,Harvest,Winter,Drip,Urea,0.71
Sandy,8.36,0.46,109,18,72,11.64,36.32,136.42,Maize,Sowing,Winter,Drip,DAP,2.13
Clay,5.15,1.43,145,18,116,19.17,69.92,554.14,Tomato,Sowing,Spring,Rainfed,DAP,2.07
Sandy,5.7,1.5,64,66,27,13.0,48.76,84.49,Rice,Harvest,Winter,Sprinkler,MOP,0.41
Loamy,4.9,0.85,92,44,31,30.18,88.61,2828.91,Wheat,Sowing,Summer,Drip,MOP,0.93
Sandy,5.59,0.88,101,35,98,16.84,40.84,49.04,Tomato,Flowering,Winter,Rainfed,DAP,1.21
Sandy,7.76,1.41,148,50,110,16.22,40.8,354.71,Cotton,Harvest,Spring,Canal,Compost,76.31
Loamy,6.01,0.86,30,76,14,11.63,37.06,238.66,Maize,Harvest,Winter,Canal,Urea,0.93
Silt,4.85,0.74,126,39,41,30.02,73.21,1856.52,Rice,Sowing,Summer,Sprinkler,DAP,1.7
Silt,5.87,1.23,110,38,58,34.77,72.93,2172.23,Cotton,Flowering,Summer,Canal,DAP,1.08
Sandy,8.43,0.39,79,77,45,32.4,75.08,2626.4,Wheat,Flowering,Summer,Canal,Zinc Sulphate,2.47
Loamy,7.02,0.97,157,23,82,33.23,90.3,1593.02,Rice,Sowing,Summer,Drip,DAP,1.26
Sandy,6.16,2.32,121,61,23,11.52,25.88,97.41,Tomato,Vegetative,Winter,Drip,MOP,2.88
Clay,5.17,1.81,25,48,73,20.55,59.81,256.48,Tomato,Vegetative,Spring,Rainfed,Urea,4.77
Clay,8.44,3.27,144,30,41,34.73,65.82,1746.93,Rice,Sowing,Summer,Drip,DAP,1.0
Sandy,7.78,0.64,135,80,18,16.67,41.26,176.1,Sugarcane,Vegetative,Spring,Rainfed,MOP,4.39
